"","여성적인","부드러운","사랑스러운","은은한","매력적인","밝은","화려한","우아한","젊은","가벼운","자연적인","맑은","상쾌한","순수한","성숙한","달콤한","편안한","귀여운","깔끔한","신선한","수수한","서양적인","따뜻한","소박한","차분한","고급스러운","현대적인","무거운","인공적인","기운찬","동적인","도시적인","전원적인","기타","중후한","정적인","관능적인","시원한","남성적인","차가운","개성적인","점잖은","동양적인","거친","전통적인","어두운"
"oriental",0.0331491712707182,0.0220994475138122,0.0165745856353591,0.0276243093922652,0.0773480662983425,0.00552486187845304,0.0662983425414365,0.0441988950276243,0.0110497237569061,0,0.0110497237569061,0,0.0110497237569061,0.00552486187845304,0.0718232044198895,0.0276243093922652,0.00552486187845304,0.00552486187845304,0.0110497237569061,0,0,0.0110497237569061,0.0220994475138122,0,0.0165745856353591,0.0662983425414365,0.0165745856353591,0.0497237569060773,0.00552486187845304,0.0110497237569061,0,0.0165745856353591,0,0.00552486187845304,0.0607734806629834,0.0220994475138122,0.0773480662983425,0,0.0220994475138122,0.00552486187845304,0.0165745856353591,0.0220994475138122,0.0441988950276243,0.0110497237569061,0.0276243093922652,0.0165745856353591
"oriental floral",0.0564516129032258,0.043010752688172,0.0403225806451613,0.043010752688172,0.0672043010752688,0.0295698924731183,0.0591397849462366,0.0483870967741935,0.0268817204301075,0.0188172043010753,0.0241935483870968,0.0161290322580645,0.021505376344086,0.0188172043010753,0.0510752688172043,0.0295698924731183,0.0161290322580645,0.0161290322580645,0.0161290322580645,0.010752688172043,0.010752688172043,0.0134408602150538,0.0188172043010753,0.00537634408602151,0.0134408602150538,0.0376344086021505,0.0134408602150538,0.0295698924731183,0.00806451612903226,0.00806451612903226,0.00268817204301075,0.010752688172043,0.00268817204301075,0.00537634408602151,0.032258064516129,0.0134408602150538,0.0403225806451613,0,0.010752688172043,0.00268817204301075,0.00806451612903226,0.010752688172043,0.021505376344086,0.00537634408602151,0.0134408602150538,0.00806451612903226
"oriental fougere",0.029585798816568,0.0325443786982249,0.0207100591715976,0.0325443786982249,0.0621301775147929,0.0325443786982249,0.0414201183431953,0.0266272189349112,0.0236686390532544,0.014792899408284,0.0177514792899408,0.029585798816568,0.0384615384615385,0.0207100591715976,0.0443786982248521,0.0266272189349112,0.014792899408284,0.0118343195266272,0.0236686390532544,0.0266272189349112,0.00887573964497041,0.00887573964497041,0.0177514792899408,0.0118343195266272,0.0207100591715976,0.0414201183431953,0.014792899408284,0.029585798816568,0.00887573964497041,0.014792899408284,0,0.0118343195266272,0.0029585798816568,0.0029585798816568,0.0384615384615385,0.0177514792899408,0.0443786982248521,0.00887573964497041,0.0118343195266272,0.00591715976331361,0.0177514792899408,0.0118343195266272,0.029585798816568,0.00591715976331361,0.0266272189349112,0.014792899408284
"oriental spicy",0.0189274447949527,0.0126182965299685,0.0126182965299685,0.0189274447949527,0.0662460567823344,0.00315457413249211,0.0599369085173502,0.028391167192429,0.00946372239747634,0.00315457413249211,0.00946372239747634,0,0.0157728706624606,0.00315457413249211,0.0599369085173502,0.0189274447949527,0.00315457413249211,0.00630914826498423,0.0126182965299685,0.00315457413249211,0,0.0126182965299685,0.0189274447949527,0.00315457413249211,0.0126182965299685,0.0473186119873817,0.0189274447949527,0.056782334384858,0.0189274447949527,0.0189274447949527,0.00946372239747634,0.0189274447949527,0.00315457413249211,0.00315457413249211,0.0599369085173502,0.0189274447949527,0.0599369085173502,0.00630914826498423,0.0347003154574132,0.00630914826498423,0.0410094637223975,0.0252365930599369,0.0441640378548896,0.0347003154574132,0.0410094637223975,0.0189274447949527
"oriental vanilla",0.0264705882352941,0.0441176470588235,0.0205882352941176,0.0323529411764706,0.0617647058823529,0.0235294117647059,0.0441176470588235,0.0352941176470588,0.0176470588235294,0.0117647058823529,0.0147058823529412,0.00588235294117647,0.00882352941176471,0.0117647058823529,0.0558823529411765,0.0617647058823529,0.00882352941176471,0.0235294117647059,0.0147058823529412,0.00294117647058824,0.00294117647058824,0.0117647058823529,0.0294117647058824,0.00294117647058824,0.0323529411764706,0.0441176470588235,0.0147058823529412,0.0558823529411765,0.0176470588235294,0.00588235294117647,0,0.00882352941176471,0,0.00294117647058824,0.0470588235294118,0.0235294117647059,0.0558823529411765,0,0.0117647058823529,0.00294117647058824,0.0235294117647059,0.0205882352941176,0.0264705882352941,0.00882352941176471,0.0147058823529412,0.00882352941176471
"oriental woody",0.0156657963446475,0.031331592689295,0.00783289817232376,0.0234986945169713,0.0469973890339426,0.00261096605744125,0.0339425587467363,0.0339425587467363,0.00522193211488251,0.00522193211488251,0.031331592689295,0.010443864229765,0.0156657963446475,0.00261096605744125,0.0469973890339426,0.0130548302872063,0.0234986945169713,0.00522193211488251,0.0182767624020888,0.00783289817232376,0.00522193211488251,0.00783289817232376,0.0234986945169713,0.010443864229765,0.0417754569190601,0.0496083550913838,0.010443864229765,0.0600522193211488,0.00261096605744125,0.00783289817232376,0,0.0182767624020888,0.0156657963446475,0.00522193211488251,0.0548302872062663,0.0365535248041775,0.0443864229765013,0.00783289817232376,0.0391644908616188,0.010443864229765,0.0130548302872063,0.0339425587467363,0.0365535248041775,0.0182767624020888,0.0443864229765013,0.02088772845953
"woody",0,0.0396039603960396,0,0.0198019801980198,0.0198019801980198,0,0.00495049504950495,0.0247524752475248,0,0.0099009900990099,0.0495049504950495,0.0198019801980198,0.0198019801980198,0,0.0247524752475248,0,0.0396039603960396,0.00495049504950495,0.0247524752475248,0.0148514851485149,0.0099009900990099,0.00495049504950495,0.0247524752475248,0.0198019801980198,0.0643564356435644,0.0346534653465347,0.00495049504950495,0.0693069306930693,0,0.00495049504950495,0,0.0198019801980198,0.0297029702970297,0.00495049504950495,0.0495049504950495,0.0495049504950495,0.0148514851485149,0.0148514851485149,0.0544554455445545,0.0148514851485149,0.0099009900990099,0.0445544554455446,0.0297029702970297,0.0247524752475248,0.0594059405940594,0.0247524752475248
"woody aquatic",0,0.0311688311688312,0.0025974025974026,0.0285714285714286,0.0207792207792208,0.0311688311688312,0.0025974025974026,0.012987012987013,0.025974025974026,0.0493506493506494,0.038961038961039,0.0493506493506494,0.0441558441558442,0.0155844155844156,0.0155844155844156,0.0025974025974026,0.0337662337662338,0.0025974025974026,0.0441558441558442,0.0311688311688312,0.012987012987013,0.0103896103896104,0.0155844155844156,0.0181818181818182,0.038961038961039,0.0233766233766234,0.00779220779220779,0.0363636363636364,0,0.0207792207792208,0.0181818181818182,0.0181818181818182,0.0181818181818182,0.00519480519480519,0.025974025974026,0.025974025974026,0.00779220779220779,0.038961038961039,0.038961038961039,0.0181818181818182,0.012987012987013,0.025974025974026,0.0181818181818182,0.0155844155844156,0.0311688311688312,0.012987012987013
"woody aromatic",0.00278551532033426,0.0278551532033426,0.00278551532033426,0.0250696378830084,0.0194986072423398,0.00835654596100279,0.00835654596100279,0.0139275766016713,0.00557103064066852,0.0139275766016713,0.0501392757660167,0.0194986072423398,0.0306406685236769,0.00835654596100279,0.0250696378830084,0,0.0306406685236769,0.00278551532033426,0.0334261838440111,0.0222841225626741,0.011142061281337,0.00278551532033426,0.0250696378830084,0.0222841225626741,0.0612813370473538,0.0306406685236769,0.00278551532033426,0.064066852367688,0.00835654596100279,0.00835654596100279,0,0.0222841225626741,0.0278551532033426,0.00557103064066852,0.052924791086351,0.0362116991643454,0.011142061281337,0.0194986072423398,0.052924791086351,0.0194986072423398,0.0139275766016713,0.0389972144846797,0.0278551532033426,0.0167130919220056,0.0445682451253482,0.0222841225626741
"woody chypre",0,0.0383480825958702,0,0.0265486725663717,0.0265486725663717,0.0176991150442478,0.00589970501474926,0.0176991150442478,0.00589970501474926,0.0147492625368732,0.0412979351032448,0.0294985250737463,0.0294985250737463,0.00294985250737463,0.023598820058997,0.00294985250737463,0.0353982300884956,0.0117994100294985,0.023598820058997,0.0265486725663717,0.0117994100294985,0.0117994100294985,0.0176991150442478,0.0147492625368732,0.0501474926253687,0.0324483775811209,0.00884955752212389,0.0530973451327434,0,0.0117994100294985,0.00884955752212389,0.0176991150442478,0.0265486725663717,0.00589970501474926,0.0353982300884956,0.0412979351032448,0.0176991150442478,0.0206489675516224,0.0471976401179941,0.023598820058997,0.023598820058997,0.0324483775811209,0.0176991150442478,0.023598820058997,0.0471976401179941,0.0176991150442478
"woody floral musk",0.0339805825242718,0.0548543689320388,0.029126213592233,0.0402912621359223,0.0402912621359223,0.0228155339805825,0.0242718446601942,0.0354368932038835,0.0194174757281553,0.0679611650485437,0.0276699029126214,0.0242718446601942,0.0194174757281553,0.0145631067961165,0.0339805825242718,0.0194174757281553,0.037378640776699,0.0160194174757282,0.0228155339805825,0.0131067961165049,0.0131067961165049,0.0111650485436893,0.0228155339805825,0.0131067961165049,0.0388349514563107,0.0228155339805825,0.00970873786407767,0.0354368932038835,0.00970873786407767,0.00485436893203883,0.00339805825242718,0.0145631067961165,0.0111650485436893,0.00485436893203883,0.020873786407767,0.0257281553398058,0.020873786407767,0.00485436893203883,0.0228155339805825,0.00485436893203883,0.00485436893203883,0.0305825242718447,0.0111650485436893,0.00825242718446602,0.0242718446601942,0.00825242718446602
"woody spicy",0,0.0236686390532544,0.0029585798816568,0.014792899408284,0.0325443786982249,0,0.0236686390532544,0.0177514792899408,0.0029585798816568,0.00887573964497041,0.0325443786982249,0.0118343195266272,0.0207100591715976,0,0.0325443786982249,0.0029585798816568,0.0236686390532544,0.00591715976331361,0.0207100591715976,0.0118343195266272,0.00591715976331361,0.00887573964497041,0.0207100591715976,0.014792899408284,0.0414201183431953,0.029585798816568,0.0118343195266272,0.0680473372781065,0.014792899408284,0.014792899408284,0.00887573964497041,0.0207100591715976,0.0207100591715976,0.0029585798816568,0.0532544378698225,0.0355029585798817,0.0236686390532544,0.014792899408284,0.0532544378698225,0.0118343195266272,0.0355029585798817,0.0384615384615385,0.0355029585798817,0.0414201183431953,0.0591715976331361,0.0236686390532544
